import time: self [us] | cumulative | imported package
import time:       488 |     570484 |       numpy._core._multiarray_umath
import time:      5581 |     576065 |     numpy.__config__
import time:      3624 |       3624 |                       numpy._typing._nbit_base
import time:      3531 |       3531 |                       numpy._typing._nested_sequence
import time:      3567 |       3567 |                       numpy._typing._shape
import time:     17844 |      28565 |                     numpy._typing._array_like
import time:     16558 |      16558 |                     numpy._typing._char_codes
import time:     19511 |      19511 |                     numpy._typing._dtype_like
import time:      4751 |       4751 |                     numpy._typing._nbit
import time:      4007 |       4007 |                     numpy._typing._scalars
import time:      3235 |       3235 |                     numpy._typing._ufunc
import time:     10305 |      86929 |                   numpy._typing
import time:      6321 |       6321 |                     numpy.lib._stride_tricks_impl
import time:      9118 |      15438 |                   numpy.lib._twodim_base_impl
import time:      6450 |       6450 |                     numpy.lib._array_utils_impl
import time:      5418 |      11867 |                   numpy.lib.array_utils
import time:     15575 |      15575 |                   numpy.linalg._umath_linalg
import time:     25896 |     155703 |                 numpy.linalg._linalg
import time:      6254 |     161957 |               numpy.linalg
import time:      8905 |     170862 |             numpy.matrixlib.defmatrix
import time:      6349 |     177210 |           numpy.matrixlib
import time:      7415 |       7415 |             numpy.lib._histograms_impl
import time:     18462 |      25876 |           numpy.lib._function_base_impl
import time:     12096 |     215181 |         numpy.lib._index_tricks_impl
import time:     11720 |     226900 |       numpy.lib._arraypad_impl
import time:     15474 |      15474 |       numpy.lib._arraysetops_impl
import time:      7833 |       7833 |       numpy.lib._arrayterator_impl
import time:      8814 |       8814 |       numpy.lib._nanfunctions_impl
import time:     14894 |      14894 |                 _wmi
import time:     14690 |      29583 |               platform
import time:      9596 |      39179 |             numpy.lib._utils_impl
import time:     11054 |      50232 |           numpy.lib._format_impl
import time:      8384 |      58615 |         numpy.lib.format
import time:      9407 |       9407 |         numpy.lib._datasource
import time:     10178 |      10178 |         numpy.lib._iotools
import time:     14733 |      92932 |       numpy.lib._npyio_impl
import time:     10438 |      10438 |           numpy.lib._ufunclike_impl
import time:     10315 |      20753 |         numpy.lib._type_check_impl
import time:     14108 |      34860 |       numpy.lib._polynomial_impl
import time:      9111 |       9111 |       numpy.lib._shape_base_impl
import time:      9586 |       9586 |       numpy.lib._version
import time:      5867 |       5867 |       numpy.lib.introspect
import time:      7004 |       7004 |       numpy.lib.mixins
import time:      5055 |       5055 |       numpy.lib.npyio
import time:      7057 |       7057 |         numpy.lib._scimath_impl
import time:      3779 |      10836 |       numpy.lib.scimath
import time:      5586 |       5586 |       numpy.lib.stride_tricks
import time:     21135 |     460987 |     numpy.lib
import time:      5858 |       5858 |     numpy._array_api_info
import time:     41267 |    1123351 |   numpy
import time:     10381 |      10381 |     glob
import time:     22328 |      22328 |       _socket
import time:     26632 |      48960 |     typing_extensions
import time:     10758 |      10758 |     torch._utils
import time:       489 |        489 |             _bisect
import time:      8372 |       8860 |           bisect
import time:       386 |        386 |           _random
import time:       378 |        378 |           _sha2
import time:      7779 |      17402 |         random
import time:      7266 |      24668 |       tempfile
import time:      5421 |       5421 |         torch._strobelight
import time:       817 |        817 |               _json
import time:      8075 |       8892 |             json.scanner
import time:      8069 |      16961 |           json.decoder
import time:      7511 |       7511 |           json.encoder
import time:      4900 |      29370 |         json
import time:      3899 |       3899 |             select
import time:      9927 |      13826 |           selectors
import time:     21172 |      34997 |         socket
import time:       661 |        661 |             gc
import time:     13413 |      14073 |           timeit
import time:     12150 |      26222 |         torch._strobelight.cli_function_profiler
import time:      9301 |     105310 |       torch._strobelight.compile_time_profiler
import time:      9356 |     139333 |     torch._utils_internal
import time:      6879 |       6879 |           torch._vendor
import time:     10912 |      17790 |         torch._vendor.packaging
import time:      4804 |       4804 |         torch._vendor.packaging._structures
import time:     34304 |      56897 |       torch._vendor.packaging.version
import time:      5729 |       5729 |       torch.version
import time:      9397 |      72022 |     torch.torch_version
import time:      1185 |       1185 |     torch._rocm_init
import time:     12636 |      12636 |     sysconfig
[parent] waiting... 15s elapsed
[parent] waiting... 30s elapsed
[parent] waiting... 45s elapsed
TIMEOUT: child probe exceeded 45 seconds
